display,position,proj,slot
Patrick Mahomes,QB,315.109573596,QB
Travis Kelce,TE,206.87675702075,TE
CeeDee Lamb,WR,327.03232413750004,WR1
Justin Jefferson,WR,287.3295484855,WR2
Josh Jacobs,RB,218.170328846,RB1
Dalton Kincaid,TE,178.663960417,SUB
Baltimore Ravens,DEF,137.37376206750002,DEF
C.J. Stroud,QB,291.967897234,SUB
New York Jets,DEF,134.441274708,SUB
Aaron Rodgers,QB,260.521837243,SUB
A.J. Brown,WR,270.718740292,W/R
Cooper Kupp,WR,222.623113322,SUB
Zay Flowers,WR,215.1586149065,SUB
Harrison Butker,K,148.6825544575,K
Gardner Minshew,QB,134.515268022,SUB
Kendre Miller,RB,100.608738467,RB2
MarShawn Lloyd,RB,89.120069084,SUB
Sam Howell,QB,42.354559551,SUB
Rashee Rice,WR,192.2413797942,SUB
